Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,8010000,Orégano,12.22,12.22,0.00,41.66,3.41,21245.81,885100.39
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,8490000,Rábano,12.99,12.99,0.00,154.13,11.87,6383.34,983864.42
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,8590000,Romero,16.13,16.13,0.00,62.73,3.89,24928.59,1563770.35
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,8700000,Salvia,42.65,42.65,0.00,154.71,3.63,22241.49,3440981.31
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,8910000,Tarragón,15.05,15.05,0.00,50.28,3.34,24520.91,1232911.51
2021,3,Baja California Sur,1,Otoño-Invierno,1,Riego,200201,Tonelada,8990000,Tomillo,19.67,19.67,0.00,56.10,2.85,24769.90,1389591.45
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,6.80,6.80,0.00,84.43,12.42,3749.97,316609.82
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,5110000,Albahaca,64.36,64.36,0.25,611.50,9.50,17321.17,10591897.47
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,5640000,Betabel,2.24,2.24,0.00,34.22,15.28,3060.00,104713.20
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,5760000,Calabaza,4.76,4.76,0.00,67.71,14.22,3130.39,211958.79
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,5790000,Camote,4.49,4.49,0.00,47.99,10.69,4262.86,204574.75
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,122.95,122.95,0.00,1564.14,12.72,12425.00,19434435.58
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,6170000,Chives,2.11,2.11,0.00,7.54,3.57,30871.58,232771.74
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,7.86,7.86,0.00,77.68,9.88,10502.86,815862.41
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),15.83,15.83,0.00,330.24,20.86,5527.83,1825509.04
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,6320000,Col de bruselas,154.79,154.79,0.00,2319.00,14.98,15999.99,37103988.05
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,58.91,58.91,0.00,527.45,8.95,13821.16,7289972.33
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,6620000,Eneldo,1.78,1.78,0.00,2.87,1.61,16944.26,48630.03
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,6940000,Girasol,8.96,8.96,0.00,8.95,1.00,6210.00,55579.50
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,7240000,Jícama,26.51,26.51,0.00,263.52,9.94,5000.03,1317608.88
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,7660000,Mejorana,3.04,3.04,0.00,8.94,2.94,19377.51,173234.92
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,7700000,Menta,3.41,3.41,0.00,13.41,3.93,30233.78,405434.99
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,7840000,Napa,40.34,40.34,0.00,1203.09,29.82,64890.00,78068510.10
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,8010000,Orégano,4.16,4.16,0.00,17.63,4.24,27468.53,484270.22
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,2.51,2.51,0.00,56.86,22.65,5033.82,286222.86
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,8590000,Romero,2.75,2.75,0.00,6.27,2.28,31937.86,200250.39
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,8700000,Salvia,2.86,2.86,0.00,11.31,3.95,29204.39,330301.64
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,8910000,Tarragón,1.54,1.54,0.00,5.28,3.43,32137.25,169684.70
2021,3,Baja California Sur,2,Primavera-Verano,1,Riego,200201,Tonelada,8990000,Tomillo,2.61,2.61,0.00,11.82,4.53,26350.98,311468.54
2021,3,Baja California Sur,3,Perennes,1,Riego,200201,Tonelada,1400000,Palo de arco,10.00,8.57,1.00,370.67,43.25,6028.57,2234609.75
2021,3,Baja California Sur,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,8.33,8.33,0.00,14.80,1.78,8212.19,121540.42
2021,3,Baja California Sur,3,Perennes,1,Riego,200201,Tonelada,6220000,Ciruela,17.68,17.68,0.00,51.82,2.93,8032.56,416247.42
2021,3,Baja California Sur,3,Perennes,1,Riego,200201,Tonelada,6300000,Coco fruta,28.06,0.00,0.00,0.00,0.00,0.00,0.00
2021,3,Baja California Sur,3,Perennes,1,Riego,200201,Tonelada,6490000,Dátil,312.00,308.38,4.00,564.47,1.83,38033.31,21468660.59
