Anio,Idestado,Nomestado,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1986,5,Coahuila,3,Riego,Tonelada,Dátil,36.0,0.0,12.0,0.33,200.0,2400.0
1986,5,Coahuila,3,Riego,Tonelada,Durazno,114.0,0.0,409.0,3.59,105.57,43180.0
1986,5,Coahuila,3,Riego,Tonelada,Espárrago,54.0,0.0,466.0,8.63,78.0,36350.0
1986,5,Coahuila,3,Riego,Tonelada,Granada,124.0,0.0,597.0,4.81,89.42,53385.0
1986,5,Coahuila,3,Riego,Tonelada,Manzana,2280.0,0.0,10924.0,4.79,104.1,1137188.0
1986,5,Coahuila,3,Riego,Tonelada,Membrillo,64.0,0.0,366.0,5.72,73.34,26842.0
1986,5,Coahuila,3,Riego,Tonelada,Nuez,7309.0,0.0,7019.0,0.96,1118.96,7854000.0
1986,5,Coahuila,3,Riego,Tonelada,Pera,6.0,0.0,64.0,10.67,100.0,6400.0
1986,5,Coahuila,3,Riego,Tonelada,Pistache,0.0,0.0,0.0,0.0,0.0,0.0
1986,5,Coahuila,3,Riego,Tonelada,Uva,5185.0,0.0,46209.0,8.91,105.51,4875680.0
1986,5,Coahuila,3,Riego,Tonelada,Pastos y praderas,2789.0,0.0,103377.0,37.07,9.8,1012581.0
1986,5,Coahuila,3,Temporal,Tonelada,Ciruela,0.0,0.0,0.0,0.0,0.0,0.0
1986,5,Coahuila,3,Temporal,Tonelada,Durazno,0.0,0.0,0.0,0.0,0.0,0.0
1986,5,Coahuila,3,Temporal,Tonelada,Manzana,2769.0,0.0,5806.0,2.1,105.1,610211.0
